Accession,Release_Date,Species,Genus,Family,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
YP_009725318,2020-03-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,43,RefSeq,complete,,,"Baranov,P.V., Henderson,C.M., Anderson,C.B., Gesteland,R.F., Atkins,J.F., Howard,M.T., Robertson,M.P., Igel,H., Baertsch,R., Haussler,D., Ares,M. Jr., Scott,W.G., Williams,G.D., Chang,R.Y., Brian,D.A., Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.","15680415, 15630477, 10482585",China,Homo sapiens,,2019-12,,ORF7b [Severe acute respiratory syndrome coronavirus 2]
YP_009725296,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,43,RefSeq,complete,,,"Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.",,China,Homo sapiens,,2019-12,,ORF7b [Wuhan seafood market pneumonia virus]
YP_009725300,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,500,RefSeq,complete,,,"Baranov,P.V., Henderson,C.M., Anderson,C.B., Gesteland,R.F., Atkins,J.F., Howard,M.T., Robertson,M.P., Igel,H., Baertsch,R., Haussler,D., Ares,M. Jr., Scott,W.G., Williams,G.D., Chang,R.Y., Brian,D.A., Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.","15680415, 15630477, 10482585",China,Homo sapiens,,2019-12,,nsp4 [Severe acute respiratory syndrome coronavirus 2]
YP_009725301,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,306,RefSeq,complete,,,"Baranov,P.V., Henderson,C.M., Anderson,C.B., Gesteland,R.F., Atkins,J.F., Howard,M.T., Robertson,M.P., Igel,H., Baertsch,R., Haussler,D., Ares,M. Jr., Scott,W.G., Williams,G.D., Chang,R.Y., Brian,D.A., Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.","15680415, 15630477, 10482585",China,Homo sapiens,,2019-12,,3C-like proteinase [Severe acute respiratory syndrome coronavirus 2]
YP_009725302,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,290,RefSeq,complete,,,"Baranov,P.V., Henderson,C.M., Anderson,C.B., Gesteland,R.F., Atkins,J.F., Howard,M.T., Robertson,M.P., Igel,H., Baertsch,R., Haussler,D., Ares,M. Jr., Scott,W.G., Williams,G.D., Chang,R.Y., Brian,D.A., Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.","15680415, 15630477, 10482585",China,Homo sapiens,,2019-12,,nsp6 [Severe acute respiratory syndrome coronavirus 2]
YP_009725304,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,198,RefSeq,complete,,,"Baranov,P.V., Henderson,C.M., Anderson,C.B., Gesteland,R.F., Atkins,J.F., Howard,M.T., Robertson,M.P., Igel,H., Baertsch,R., Haussler,D., Ares,M. Jr., Scott,W.G., Williams,G.D., Chang,R.Y., Brian,D.A., Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.","15680415, 15630477, 10482585",China,Homo sapiens,,2019-12,,nsp8 [Severe acute respiratory syndrome coronavirus 2]
YP_009725306,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,139,RefSeq,complete,,,"Baranov,P.V., Henderson,C.M., Anderson,C.B., Gesteland,R.F., Atkins,J.F., Howard,M.T., Robertson,M.P., Igel,H., Baertsch,R., Haussler,D., Ares,M. Jr., Scott,W.G., Williams,G.D., Chang,R.Y., Brian,D.A., Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.","15680415, 15630477, 10482585",China,Homo sapiens,,2019-12,,nsp10 [Severe acute respiratory syndrome coronavirus 2]
YP_009725307,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,932,RefSeq,complete,,,"Baranov,P.V., Henderson,C.M., Anderson,C.B., Gesteland,R.F., Atkins,J.F., Howard,M.T., Robertson,M.P., Igel,H., Baertsch,R., Haussler,D., Ares,M. Jr., Scott,W.G., Williams,G.D., Chang,R.Y., Brian,D.A., Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.","15680415, 15630477, 10482585",China,Homo sapiens,,2019-12,,RNA-dependent RNA polymerase [Severe acute respiratory syndrome coronavirus 2]
YP_009725295,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,4405,RefSeq,complete,,,"Baranov,P.V., Henderson,C.M., Anderson,C.B., Gesteland,R.F., Atkins,J.F., Howard,M.T., Robertson,M.P., Igel,H., Baertsch,R., Haussler,D., Ares,M. Jr., Scott,W.G., Williams,G.D., Chang,R.Y., Brian,D.A., Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.","15680415, 15630477, 10482585",China,Homo sapiens,,2019-12,,orf1a polyprotein [Severe acute respiratory syndrome coronavirus 2]
YP_009725299,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1945,RefSeq,complete,,,"Baranov,P.V., Henderson,C.M., Anderson,C.B., Gesteland,R.F., Atkins,J.F., Howard,M.T., Robertson,M.P., Igel,H., Baertsch,R., Haussler,D., Ares,M. Jr., Scott,W.G., Williams,G.D., Chang,R.Y., Brian,D.A., Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.","15680415, 15630477, 10482585",China,Homo sapiens,,2019-12,,nsp3 [Severe acute respiratory syndrome coronavirus 2]
YP_009725311,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,298,RefSeq,complete,,,"Baranov,P.V., Henderson,C.M., Anderson,C.B., Gesteland,R.F., Atkins,J.F., Howard,M.T., Robertson,M.P., Igel,H., Baertsch,R., Haussler,D., Ares,M. Jr., Scott,W.G., Williams,G.D., Chang,R.Y., Brian,D.A., Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.","15680415, 15630477, 10482585",China,Homo sapiens,,2019-12,,2'-O-ribose methyltransferase [Severe acute respiratory syndrome coronavirus 2]
YP_009725297,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,180,RefSeq,complete,,,"Baranov,P.V., Henderson,C.M., Anderson,C.B., Gesteland,R.F., Atkins,J.F., Howard,M.T., Robertson,M.P., Igel,H., Baertsch,R., Haussler,D., Ares,M. Jr., Scott,W.G., Williams,G.D., Chang,R.Y., Brian,D.A., Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.","15680415, 15630477, 10482585",China,Homo sapiens,,2019-12,,leader protein [Severe acute respiratory syndrome coronavirus 2]
YP_009725298,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,638,RefSeq,complete,,,"Baranov,P.V., Henderson,C.M., Anderson,C.B., Gesteland,R.F., Atkins,J.F., Howard,M.T., Robertson,M.P., Igel,H., Baertsch,R., Haussler,D., Ares,M. Jr., Scott,W.G., Williams,G.D., Chang,R.Y., Brian,D.A., Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.","15680415, 15630477, 10482585",China,Homo sapiens,,2019-12,,nsp2 [Severe acute respiratory syndrome coronavirus 2]
YP_009725303,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,83,RefSeq,complete,,,"Baranov,P.V., Henderson,C.M., Anderson,C.B., Gesteland,R.F., Atkins,J.F., Howard,M.T., Robertson,M.P., Igel,H., Baertsch,R., Haussler,D., Ares,M. Jr., Scott,W.G., Williams,G.D., Chang,R.Y., Brian,D.A., Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.","15680415, 15630477, 10482585",China,Homo sapiens,,2019-12,,nsp7 [Severe acute respiratory syndrome coronavirus 2]
YP_009725305,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,113,RefSeq,complete,,,"Baranov,P.V., Henderson,C.M., Anderson,C.B., Gesteland,R.F., Atkins,J.F., Howard,M.T., Robertson,M.P., Igel,H., Baertsch,R., Haussler,D., Ares,M. Jr., Scott,W.G., Williams,G.D., Chang,R.Y., Brian,D.A., Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.","15680415, 15630477, 10482585",China,Homo sapiens,,2019-12,,nsp9 [Severe acute respiratory syndrome coronavirus 2]
YP_009725308,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,601,RefSeq,complete,,,"Baranov,P.V., Henderson,C.M., Anderson,C.B., Gesteland,R.F., Atkins,J.F., Howard,M.T., Robertson,M.P., Igel,H., Baertsch,R., Haussler,D., Ares,M. Jr., Scott,W.G., Williams,G.D., Chang,R.Y., Brian,D.A., Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.","15680415, 15630477, 10482585",China,Homo sapiens,,2019-12,,helicase [Severe acute respiratory syndrome coronavirus 2]
YP_009725309,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,527,RefSeq,complete,,,"Baranov,P.V., Henderson,C.M., Anderson,C.B., Gesteland,R.F., Atkins,J.F., Howard,M.T., Robertson,M.P., Igel,H., Baertsch,R., Haussler,D., Ares,M. Jr., Scott,W.G., Williams,G.D., Chang,R.Y., Brian,D.A., Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.","15680415, 15630477, 10482585",China,Homo sapiens,,2019-12,,3'-to-5' exonuclease [Severe acute respiratory syndrome coronavirus 2]
YP_009725310,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,346,RefSeq,complete,,,"Baranov,P.V., Henderson,C.M., Anderson,C.B., Gesteland,R.F., Atkins,J.F., Howard,M.T., Robertson,M.P., Igel,H., Baertsch,R., Haussler,D., Ares,M. Jr., Scott,W.G., Williams,G.D., Chang,R.Y., Brian,D.A., Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.","15680415, 15630477, 10482585",China,Homo sapiens,,2019-12,,endoRNAse [Severe acute respiratory syndrome coronavirus 2]
YP_009725312,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,13,RefSeq,complete,,,"Baranov,P.V., Henderson,C.M., Anderson,C.B., Gesteland,R.F., Atkins,J.F., Howard,M.T., Robertson,M.P., Igel,H., Baertsch,R., Haussler,D., Ares,M. Jr., Scott,W.G., Williams,G.D., Chang,R.Y., Brian,D.A., Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.","15680415, 15630477, 10482585",China,Homo sapiens,,2019-12,,nsp11 [Severe acute respiratory syndrome coronavirus 2]
YP_009725255,2020-01-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,RefSeq,complete,,,"Baranov,P.V., Henderson,C.M., Anderson,C.B., Gesteland,R.F., Atkins,J.F., Howard,M.T., Robertson,M.P., Igel,H., Baertsch,R., Haussler,D., Ares,M. Jr., Scott,W.G., Williams,G.D., Chang,R.Y., Brian,D.A., Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.","15680415, 15630477, 10482585",China,Homo sapiens,,2019-12,,ORF10 protein [Severe acute respiratory syndrome coronavirus 2]
YP_009724393,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,RefSeq,complete,,,"Baranov,P.V., Henderson,C.M., Anderson,C.B., Gesteland,R.F., Atkins,J.F., Howard,M.T., Robertson,M.P., Igel,H., Baertsch,R., Haussler,D., Ares,M. Jr., Scott,W.G., Williams,G.D., Chang,R.Y., Brian,D.A., Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.","15680415, 15630477, 10482585",China,Homo sapiens,,2019-12,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
YP_009724394,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,RefSeq,complete,,,"Baranov,P.V., Henderson,C.M., Anderson,C.B., Gesteland,R.F., Atkins,J.F., Howard,M.T., Robertson,M.P., Igel,H., Baertsch,R., Haussler,D., Ares,M. Jr., Scott,W.G., Williams,G.D., Chang,R.Y., Brian,D.A., Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.","15680415, 15630477, 10482585",China,Homo sapiens,,2019-12,,ORF6 protein [Severe acute respiratory syndrome coronavirus 2]
